D:\IT STEP ACADEMY\System Programming\Homework\badwords.txt	|3714 bytes	 | 449 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\IT STEP ACADEMY\System Programming\Homework\Bad paragraph.txt	|2566 bytes	 | 32 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
D:\Window activation key.txt	|4197 bytes	 | 0 words found
D:\word 2019 activator  - Copy.txt	|2559 bytes	 | 2 words found
